,Times,Nome dos jogadores,Apelidos dos jogadores,Quantos gols foram marcados no campeonato,Ano do campeonato
0,Atlético Mineiro - MG,Paulo Henrique Sampaio Filho,Paulinho,17,2023
1,Botafogo - RJ,Francisco das Chagas Soares dos Santos,Tiquinho,16,2023
2,Grêmio - RS,Luis Alberto Suarez Diaz,Suarez,14,2023
3,Santos - SP,Marcos Leonardo Santos Almeida,Marcos Leonardo,13,2023
4,Atlético Mineiro - MG,Givanildo Vieira de Sousa,Hulk,13,2023
5,Flamengo - RJ,Pedro Guilherme Abreu dos Santos,Pedro,12,2023
6,Cuiabá Saf - MT,Deyverson Brum Silva,Deyverson,12,2023
7,Athletico Paranaense - PR,Vitor Hugo Roque Ferreira,Vitor Roque,11,2023
8,America Saf - MG,Gonzalo Mathias Mastriani Borges,Gonzalo Mastriani,11,2023
9,Fluminense - RJ,German Ezequiel Cano,German Cano,10,2023
10,Vasco da Gama S.a.f. - RJ,Pablo Ezequiel Vegetti,Vegetti,10,2023
11,Red Bull Bragantino - SP,Eduardo Colcenti Antunes,Eduardo Sasha,10,2023
12,Coritiba S.a.f. - PR,Robson dos Santos Fernandes,Robson,9,2023
13,Palmeiras - SP,Raphael Cavalcante Veiga,Raphael Veiga,9,2023
14,Palmeiras - SP,Endrick Felipe Moreira de Sousa,Endrick,9,2023
