,Time,Pontos,Jogos,Vitorias,Empates,Derrotas,Gols Pró,Gols Contra,Saldos de gols,Porcentagem,Cartões Amarelos,Cartões Vermelhos,Ultimos resultados,Média de gols,Ano da competição
0,Palmeiras - SP,63,35,18,9,8,58,32,26,60,97,7,7 Empates,1.6571428571428573,2023
1,Atlético Mineiro SAF - MG,63,36,18,9,9,49,27,22,58,4,0,6 Empates,1.3611111111111112,2023
2,Flamengo - RJ,63,36,18,9,9,54,40,14,58,84,5,4 Empates,1.5,2023
3,Botafogo - RJ,62,35,18,8,9,56,33,23,59,89,7,5 Empates,1.6,2023
4,Grêmio - RS,59,35,18,5,12,57,53,4,56,89,6,3 Empates,1.6285714285714286,2023
5,Red Bull Bragantino - SP,59,35,16,11,8,46,31,15,56,104,4,6 Empates,1.3142857142857143,2023
6,Fluminense - RJ,56,36,16,8,12,49,43,6,51,125,11,4 Empates,1.3611111111111112,2023
7,Athletico Paranaense - PR,52,35,13,13,9,47,39,8,49,100,4,5 Empates,1.3428571428571427,2023
8,Internacional - RS,49,36,13,10,13,41,43,-2,45,111,6,5 Empates,1.1388888888888888,2023
9,Cuiabá Saf - MT,48,36,13,9,14,36,37,-1,44,98,3,3 Empates,1.0,2023
10,São Paulo - SP,47,35,12,11,12,37,36,1,44,103,7,8 Empates,1.0571428571428572,2023
11,Corinthians - SP,47,36,11,14,11,44,46,-2,43,93,2,4 Empates,1.2222222222222223,2023
12,Fortaleza - CE,45,35,12,9,14,40,42,-2,42,90,2,3 Empates,1.1428571428571428,2023
13,Cruzeiro Saf - MG,44,35,11,11,13,33,30,3,41,94,6,5 Empates,0.9428571428571428,2023
14,Santos - SP,43,36,11,10,15,38,59,-21,39,97,9,3 Empates,1.0555555555555556,2023
15,Vasco da Gama S.a.f. - RJ,42,36,11,9,16,39,49,-10,38,99,8,7 Empates,1.0833333333333333,2023
16,Bahia - BA,41,35,11,8,16,44,48,-4,39,89,7,3 Empates,1.2571428571428571,2023
17,Goiás - GO,35,35,8,11,16,34,50,-16,33,100,8,4 Empates,0.9714285714285714,2023
18,Coritiba S.a.f. - PR,29,35,8,5,22,40,69,-29,27,62,5,2 Empates,1.1428571428571428,2023
19,America Saf - MG,21,35,4,9,22,39,74,-35,20,80,10,7 Empates,1.1142857142857143,2023
