,Times,Nome dos jogadores,Apelidos dos jogadores,Quantos gols foram marcados no campeonato,Ano do campeonato
0,Palmeiras - SP,Amanda Gutierres dos Santos,Amanda Gutierres,13,2023
1,Corinthians - SP,Jheniffer da Silva Cordinali Gouveia,Jheniffer,11,2023
2,Cruzeiro Saf - MG,Byanca Beatriz Alves de Araujo,Byanca Brasil,11,2023
3,Ferroviaria S.a.f. - SP,Aline Gomes Amaro,Aline,10,2023
4,Corinthians - SP,Victoria Kristine Albuquerque de Miranda,Victoria,9,2023
5,Santos - SP,Ketlen Wiggers,Ketlen,8,2023
6,Santos - SP,Cristiane Rozeira de Souza Silva,Cristiane,8,2023
7,Ferroviaria S.a.f. - SP,Larissa Pereira da Cruz,Larissa,8,2023
8,Flamengo - RJ,Giovanna Crivelari Anselmo,Giovanna,8,2023
9,Palmeiras - SP,Leticia Ferreira Moreno Santos,LETICIA,8,2023
10,Internacional - RS,Priscila Flor da Silva,Priscila,7,2023
11,Corinthians - SP,Maria Eduarda Ferreira Sampaio,Duda Sampaio,7,2023
12,Palmeiras - SP,Beatriz Zaneratto Joao,Bia Zaneratto,7,2023
13,São Paulo - SP,Najela Cristina Andrade de Souza,Nana,7,2023
14,Bahia - BA,Nathane Cadorini Fabem,Nathane,7,2023
