brand,valor_antigo,Valor_atual,desconto,avaliacao,Quantidade de avaliação,Parcelamento,Observacao
Apple iPhone 14 (128 GB) - Meia noite - Distribuidor Autorizado,5.499,3.888,29% OFF no Pix,4.9,(6382),10x 432,Disponível em 6 cores
Apple iPhone 13 (128 GB) - Estelar - Distribuidor Autorizado,7.599,3.504,53% OFF no Pix,4.9,(5339),10x 389,Disponível em 6 cores
 Apple iPhone 14 (128 GB) - Amarelo - Distribuidor Autorizado,5.499,3.689,32% OFF no Pix,4.9,(6382),10x 409,Disponível em 6 cores
Apple iPhone 13 (128 GB) Meia-noite - Distribuidor Autorizado,7.599,3.500,53% OFF no Pix,4.9,(5339),10x 388,Disponível em 6 cores
iPhone 14 Plus (128 GB) - Estelar Apple - Distribuidor autorizado,5.699,4.229,25% OFF no Pix,4.9,(2087),10x 469,Disponível em 5 cores
Apple iPhone 14 Plus (128 GB) - Meia-noite - Distribuidor autorizado,5.699,4.229,25% OFF no Pix,4.9,(2087),10x 469,Disponível em 5 cores
Apple iPhone 15 (128 GB) - Preto - Distribuidor autorizado,7.299,4.848,33% OFF no Pix,4.9,(586),10x 538,Disponível em 5 cores
Apple iPhone 13 (128 GB) - Rosa - Distribuidor Autorizado,7.599,3.509,53% OFF no Pix,4.9,(5339),10x 389,Disponível em 6 cores
Apple iPhone 14 (128 GB) - Estelar - Distribuidor Autorizado,5.499,3.959,28% OFF no Pix,4.9,(6382),10x 439,Disponível em 6 cores
Apple iPhone 12 (128 GB) - Preto - Distribuidor autorizado,3.999,3.104,22% OFF no Pix,4.9,(4576),10x 344,Disponível em 2 cores
Apple iPhone 12 (128 GB)  - Branco - Distribuidor Autorizado,3.999,3.104,22% OFF no Pix,4.9,(4576),10x 344,Disponível em 2 cores
Apple iPhone 13 (128 GB) - Azul - Distribuidor Autorizado,4.599,3.649,20% OFF no Pix,4.9,(5339),10x 405,Disponível em 6 cores
Apple iPhone 12 (64 GB) - Preto - Distribuidor Autorizado,3.599,2.879,20% OFF no Pix,4.9,(4576),10x 319,Disponível em 2 cores
Apple iPhone 14 (128 GB) - (PRODUCT)RED - Distribuidor Autorizado,5.499,4.139,24% OFF no Pix,4.9,(6382),10x 459,Disponível em 6 cores
Apple iPhone 13 (128 GB) - (PRODUCT)RED - Distribuidor Autorizado,7.599,3.505,53% OFF no Pix,4.9,(5339),10x 389,Disponível em 6 cores
Apple iPhone 12 (64 GB) - Branco - Distribuidor autorizado,3.599,2.879,20% OFF no Pix,4.9,(4576),10x 319,Disponível em 2 cores
Apple iPhone 15 (128 GB) - Azul - Distribuidor Autorizado,5.863,5.863,,4.9,(586),10x 586,Disponível em 5 cores
Apple iPhone XR 128 GB - Branco,1.842,1.842,,4.3,(2394),10x 184,Disponível em 6 cores
Apple iPhone 15 Pro (128 GB) - Titânio Azul - Distribuidor autorizado,9.299,6.897,25% OFF no Pix,4.8,(231),10x 766,Disponível em 4 cores
Apple iPhone 15 Pro Max (256 GB) - Titânio Natural - Distribuidor Autorizado,10.999,8.031,26% OFF no Pix,4.8,(331),10x 892,Disponível em 4 cores
Apple iPhone 13 (256 GB) - Estelar - Distribuidor Autorizado,5.499,4.049,26% OFF no Pix,4.9,(5339),10x 449,Disponível em 6 cores
Apple iPhone 13 (256 GB) - Meia-noite - Distribuidor Autorizado,5.499,4.049,26% OFF no Pix,4.9,(5339),10x 449,Disponível em 6 cores
Apple iPhone 14 (256 GB) - Estelar - Distribuidor Autorizado,9.604,4.814,49% OFF no Pix,4.9,(6382),10x 534,Disponível em 6 cores
Apple iPhone 15 Pro Max (256 GB) - Titânio Branco - Distribuidor Autorizado,14.380,8.031,44% OFF no Pix,4.8,(331),10x 892,Disponível em 4 cores
Apple iPhone 14 (256 Gb) - Meia noite - Distribuidor Autorizado,7.422,4.814,35% OFF no Pix,4.9,(6382),10x 534,Disponível em 6 cores
Apple iPhone 15 Pro (128 GB) - Titânio Preto - Distribuidor autorizado,12.157,6.966,42% OFF no Pix,4.8,(231),10x 774,Disponível em 4 cores
Apple iPhone 13 (128 GB) - Estelar,3.499,3.499,,4.8,(799),10x 350,Disponível em 6 cores
 iPhone 15 Pro Max Dual SIM 512 GB titânio branco - Distribuidor autorizado,12.499,8.549,31% OFF no Pix,4.8,(331),10x 949,Disponível em 4 cores
Apple iPhone 15 Pro (256 GB) - Titânio Preto - Distribuidor Autorizado,13.203,7.398,43% OFF no Pix,4.8,(231),10x 822,Disponível em 4 cores
Apple iPhone 15 (128 GB) - Verde - Distribuidor autorizado,5.699,5.129,10% OFF no Pix,4.9,(586),10x 569,Disponível em 5 cores
Apple iPhone 15 Pro Max (256 GB) - Titânio Azul,14.380,8.189,43% OFF no Pix,4.8,(331),10x 909,Disponível em 4 cores
Apple iPhone 15 Pro (128 GB) - Titânio Natural - Distribuidor autorizado,12.157,6.966,42% OFF no Pix,4.8,(231),10x 774,Disponível em 4 cores
Apple iPhone 15 (256 GB) - Preto - Distribuidor autorizado,6.816,5.829,14% OFF,4.9,(586),10x 582,Disponível em 5 cores
"Apple iPhone SE (3ª geração, 64 GB) - PRODUCT(RED)",2.566,2.566,,4.6,(50),10x 256,Disponível em 3 cores
Apple iPhone 15 Pro Max (512 GB) - Titânio Natural - Distribuidor autorizado,16.341,9.192,43% OFF no Pix,4.8,(331),10x 1.021,Disponível em 4 cores
Apple iPhone 15 Pro (256 GB) - Titânio Azul - Distribuidor autorizado,13.203,7.398,43% OFF no Pix,4.8,(231),10x 822,Disponível em 4 cores
Apple iPhone 15 Pro Max (1 TB) - Titânio Preto - Distribuidor autorizado,18.302,10.529,42% OFF no Pix,4.8,(331),10x 1.169,Disponível em 4 cores
Apple iPhone 15 Plus (256 GB) - Preto - Distribuidor autorizado,9.099,6.479,28% OFF no Pix,4.7,(85),10x 719,Disponível em 5 cores
Apple iPhone XR 64 GB - Preto,1.550,1.550,,4.3,(2394),10x 155,Disponível em 6 cores
Apple iPhone 15 Pro Max (512 GB) - Titânio Preto - Distribuidor autorizado,12.499,9.699,22% OFF no Pix,4.8,(331),10x 1.077,Disponível em 4 cores
Apple iPhone 14 (128 GB) - Meia noite,3.899,3.899,,4.8,(249),10x 390,Disponível em 6 cores
Apple iPhone 15 Pro Max (256 GB) - Titânio Branco,7.500,750,,4.7,(429),10x 7.190,Disponível em 4 cores
Apple iPhone 11 (64 GB) - Branco,2.080,2.080,,4.4,(2688),10x 201,Disponível em 6 cores
Apple iPhone 15 Pro Max (512 GB) - Titânio Azul - Distribuidor Autorizado,16.341,9.359,42% OFF no Pix,4.8,(331),10x 1.039,Disponível em 4 cores
Apple iPhone 15 Pro (128 GB) - Titânio Azul,6.206,620,,4.8,(161),10x 5.949,Disponível em 4 cores
Apple iPhone 15 Pro (512 GB) - Titânio Preto - Distribuidor autorizado,11.599,8.999,22% OFF no Pix,4.8,(231),10x 999,Disponível em 4 cores
Apple iPhone 11 (128 GB) - Roxo,2.236,223,,4.4,(2688),10x 2.146,Disponível em 6 cores
Apple iPhone 15 (512 GB) - Preto - Distribuidor Autorizado,9.599,6.659,30% OFF no Pix,4.9,(586),10x 739,Disponível em 5 cores
Apple iPhone 15 (512 GB) - Amarelo - Distribuidor autorizado,9.599,6.659,30% OFF no Pix,4.9,(586),10x 739,Disponível em 5 cores
Apple iPhone 15 Pro Max (1 TB) - Titânio Azul - Distribuidor Autorizado,18.302,10.529,42% OFF no Pix,4.8,(331),10x 1.169,Disponível em 4 cores
 iPhone 8 64 Gb Cinza-espacial,944,944,,,,10x 94,
Apple iPhone 15 (256 GB) - Preto - Distribuidor autorizado,6.816,5.829,14% OFF,4.9,(586),10x 582,Disponível em 5 cores
Apple iPhone 15 (512 GB) - Verde - Distribuidor autorizado,13.559,13.559,50% OFF no Pix,4.9,(586),10x 6.659,Disponível em 5 cores
"Apple iPhone SE (3ª geração, 64 GB) - PRODUCT(RED)",2.566,2.566,,4.6,(50),10x 256,Disponível em 3 cores
Apple iPhone 15 Plus (256 GB) - Verde - Distribuidor autorizado,11.896,7.092,40% OFF no Pix,4.7,(85),10x 788,Disponível em 5 cores
