brand,valor_antigo,Valor_atual,desconto,avaliacao,Quantidade de avaliação
Apple iPhone 14 (128 GB) - Meia noite - Distribuidor Autorizado,5.499,3.888,29% OFF no Pix,4.9,(6371)
Apple iPhone 13 (128 GB) - Estelar - Distribuidor Autorizado,7.599,3.504,53% OFF no Pix,4.9,(5334)
 Apple iPhone 14 (128 GB) - Amarelo - Distribuidor Autorizado,5.499,4.949,10% OFF no Pix,4.9,(6371)
Apple iPhone 13 (128 GB) Meia-noite - Distribuidor Autorizado,7.599,3.500,53% OFF no Pix,4.9,(5334)
Apple iPhone 14 Plus (128 GB) - Meia-noite - Distribuidor autorizado,5.699,4.229,25% OFF no Pix,4.9,(2084)
Apple iPhone 15 (128 GB) - Preto - Distribuidor autorizado,7.299,4.848,33% OFF no Pix,4.9,(584)
Apple iPhone 14 (128 GB) - Estelar - Distribuidor Autorizado,5.499,3.959,28% OFF no Pix,4.9,(6371)
Apple iPhone 12 (128 GB) - Preto - Distribuidor autorizado,3.999,3.104,22% OFF no Pix,4.9,(4573)
Apple iPhone 11 (128 Gb) - Branco Bateria 100% + Brindes,2.150,215,,4.1,(14)
iPhone 8 Barato Preto Sem Icloud Com Biometria Com  Nfe #177,1.299,779,40% OFF,5.0,(2)
Apple iPhone 12 (128 GB)  - Branco - Distribuidor Autorizado,3.999,3.104,22% OFF no Pix,4.9,(4573)
Apple iPhone 13 (128 GB) - Azul - Distribuidor Autorizado,4.599,3.649,20% OFF no Pix,4.9,(5334)
Apple iPhone 12 (64 GB) - Preto - Distribuidor Autorizado,3.599,2.879,20% OFF no Pix,4.9,(4573)
Apple iPhone 14 (128 GB) - (PRODUCT)RED - Distribuidor Autorizado,5.499,4.139,24% OFF no Pix,4.9,(6371)
Apple iPhone 13 (128 GB) - (PRODUCT)RED - Distribuidor Autorizado,7.599,3.505,53% OFF no Pix,4.9,(5334)
Apple iPhone 12 (64 GB) - Branco - Distribuidor autorizado,3.599,2.879,20% OFF no Pix,4.9,(4573)
Apple iPhone 15 (128 GB) - Azul - Distribuidor Autorizado,5.863,586,,4.9,(584)
Apple iPhone 15 Pro (128 GB) - Titânio Azul - Distribuidor autorizado,9.299,6.897,25% OFF no Pix,4.8,(231)
iPhone 6s Barato 32gb Cinza Sem Icloud C/ Nfe Garantia #178,699,594,15% OFF,,
 iPhone 8 64 Gb Cinza-espacial,944,94,,,
Apple iPhone 15 Pro Max (256 GB) - Titânio Natural - Distribuidor Autorizado,10.999,8.031,26% OFF no Pix,4.8,(330)
Apple iPhone 13 (256 GB) - Estelar - Distribuidor Autorizado,5.499,4.049,26% OFF no Pix,4.9,(5334)
Apple iPhone 13 (256 GB) - Meia-noite - Distribuidor Autorizado,5.499,4.049,26% OFF no Pix,4.9,(5334)
Apple iPhone 13 (128 GB) Meia-noite,3.580,358,,4.8,(797)
Apple iPhone 14 (256 GB) - Estelar - Distribuidor Autorizado,9.604,4.814,49% OFF no Pix,4.9,(6371)
Apple iPhone 15 Pro Max (256 GB) - Titânio Branco - Distribuidor Autorizado,14.380,8.031,44% OFF no Pix,4.8,(330)
Apple iPhone 14 (256 Gb) - Meia noite - Distribuidor Autorizado,7.422,4.814,35% OFF no Pix,4.9,(6371)
Apple iPhone 15 Pro (128 GB) - Titânio Preto - Distribuidor autorizado,12.157,6.966,42% OFF no Pix,4.8,(231)
Apple iPhone 11 (64 GB) - Branco,2.080,201,,4.4,(2686)
 iPhone 15 Pro Max Dual SIM 512 GB titânio branco - Distribuidor autorizado,12.499,8.549,31% OFF no Pix,4.8,(330)
Apple iPhone 15 Pro (256 GB) - Titânio Preto - Distribuidor Autorizado,13.203,7.398,43% OFF no Pix,4.8,(231)
Apple iPhone 15 (128 GB) - Verde - Distribuidor autorizado,5.699,5.129,10% OFF no Pix,4.9,(584)
Apple iPhone 15 Pro Max (256 GB) - Titânio Azul,14.380,8.189,43% OFF no Pix,4.8,(330)
Apple iPhone 15 Pro (128 GB) - Titânio Natural - Distribuidor autorizado,12.157,6.966,42% OFF no Pix,4.8,(231)
Apple iPhone XR 128 GB - Preto,1.797,174,,4.3,(2393)
Apple iPhone 15 (256 GB) - Preto - Distribuidor autorizado,6.816,5.829,14% OFF,4.9,(584)
"Apple iPhone SE (3ª geração, 64 GB) - PRODUCT(RED)",2.566,256,,4.6,(50)
Apple iPhone 15 Pro Max (512 GB) - Titânio Natural - Distribuidor autorizado,16.341,9.192,43% OFF no Pix,4.8,(330)
Apple iPhone 15 Pro (256 GB) - Titânio Azul - Distribuidor autorizado,13.203,7.398,43% OFF no Pix,4.8,(231)
Apple iPhone 15 Pro Max (1 TB) - Titânio Preto - Distribuidor autorizado,18.302,10.529,42% OFF no Pix,4.8,(330)
Apple iPhone 15 Plus (256 GB) - Preto - Distribuidor autorizado,9.099,6.479,28% OFF no Pix,4.7,(85)
Apple iPhone XR 64 GB - Preto,1.550,155,,4.3,(2393)
Apple iPhone 15 Pro Max (512 GB) - Titânio Preto - Distribuidor autorizado,12.499,9.699,22% OFF no Pix,4.8,(330)
Apple iPhone 14 (128 GB) - Meia noite,4.117,411,,4.8,(249)
Apple iPhone 15 Pro Max (256 GB) - Titânio Preto,7.526,752,,4.7,(428)
Apple iPhone 15 Pro Max (512 GB) - Titânio Azul - Distribuidor Autorizado,16.341,9.359,42% OFF no Pix,4.8,(330)
Apple iPhone 15 Pro (512 GB) - Titânio Preto - Distribuidor autorizado,11.599,8.999,22% OFF no Pix,4.8,(231)
Apple iPhone 11 (128 GB) - Roxo,2.236,223,,4.4,(2686)
Apple iPhone 15 (512 GB) - Preto - Distribuidor Autorizado,9.599,6.659,30% OFF no Pix,4.9,(584)
Apple iPhone 15 Pro (128 GB) - Titânio Azul,6.206,620,,4.8,(161)
Apple iPhone 15 (512 GB) - Amarelo - Distribuidor autorizado,9.599,6.659,30% OFF no Pix,4.9,(584)
 iPhone 8 Plus 128 GB dourado,2.047,198,,4.0,(901)
Apple iPhone 15 Pro Max (1 TB) - Titânio Azul - Distribuidor Autorizado,18.302,10.529,42% OFF no Pix,4.8,(330)
 iPhone 8 Plus 64 GB dourado,1.385,138,,4.0,(901)
